Ni,Fe,Co,Ce,Overpotential
0.498,0.129,0.329,0.031,399.0
0.498,0.102,0.369,0.031,401.0
0.498,0.071,0.4,0.031,403.0
0.498,0.031,0.431,0.031,405.0
0.498,0.0,0.471,0.031,407.0
0.369,0.471,0.129,0.031,404.0
0.369,0.498,0.102,0.031,406.0
0.369,0.529,0.071,0.031,406.0
0.369,0.569,0.031,0.031,406.0
0.369,0.6,0.0,0.031,407.0
0.4,0.0,0.569,0.031,406.0
0.4,0.031,0.529,0.031,417.0
0.4,0.071,0.498,0.031,413.0
0.4,0.102,0.471,0.031,405.0
0.4,0.129,0.431,0.031,404.0
0.4,0.169,0.4,0.031,404.0
0.4,0.2,0.369,0.031,401.0
0.4,0.231,0.329,0.031,402.0
0.4,0.271,0.302,0.031,406.0
0.4,0.302,0.271,0.031,398.0
0.4,0.329,0.231,0.031,396.0
0.4,0.369,0.2,0.031,397.0
0.4,0.4,0.169,0.031,398.0
0.4,0.431,0.129,0.031,401.0
0.4,0.471,0.102,0.031,401.0
0.4,0.498,0.071,0.031,408.0
0.4,0.529,0.031,0.031,406.0
0.4,0.569,0.0,0.031,404.0
0.431,0.0,0.529,0.031,407.0
0.431,0.031,0.498,0.031,408.0
0.431,0.071,0.471,0.031,408.0
0.431,0.102,0.431,0.031,406.0
0.431,0.129,0.4,0.031,411.0
0.431,0.169,0.369,0.031,406.0
0.431,0.2,0.329,0.031,403.0
0.431,0.231,0.302,0.031,403.0
0.431,0.271,0.271,0.031,399.0
0.431,0.302,0.231,0.031,397.0
0.431,0.329,0.2,0.031,398.0
0.431,0.369,0.169,0.031,401.0
0.431,0.4,0.129,0.031,397.0
0.431,0.431,0.102,0.031,399.0
0.431,0.471,0.071,0.031,372.0
0.431,0.498,0.031,0.031,400.0
0.431,0.529,0.0,0.031,402.0
0.471,0.0,0.498,0.031,407.0
0.471,0.031,0.471,0.031,418.0
0.471,0.071,0.431,0.031,409.0
0.471,0.102,0.4,0.031,408.0
0.471,0.129,0.369,0.031,404.0
0.471,0.169,0.329,0.031,403.0
0.471,0.2,0.302,0.031,402.0
0.471,0.231,0.271,0.031,399.0
0.471,0.271,0.231,0.031,403.0
0.471,0.302,0.2,0.031,400.0
0.471,0.329,0.169,0.031,398.0
0.471,0.369,0.129,0.031,397.0
0.471,0.4,0.102,0.031,401.0
0.471,0.431,0.071,0.031,399.0
0.471,0.471,0.031,0.031,400.0
0.471,0.498,0.0,0.031,407.0
0.369,0.431,0.169,0.031,407.0
0.369,0.4,0.2,0.031,401.0
0.369,0.369,0.231,0.031,399.0
0.369,0.329,0.271,0.031,400.0
0.369,0.302,0.302,0.031,404.0
0.369,0.271,0.329,0.031,404.0
0.369,0.231,0.369,0.031,407.0
0.369,0.2,0.4,0.031,414.0
0.369,0.169,0.431,0.031,405.0
0.369,0.129,0.471,0.031,408.0
0.369,0.102,0.498,0.031,409.0
0.369,0.071,0.529,0.031,410.0
0.369,0.031,0.569,0.031,414.0
0.369,0.0,0.6,0.031,414.0
0.329,0.631,0.0,0.031,419.0
0.329,0.6,0.031,0.031,411.0
0.329,0.569,0.071,0.031,407.0
0.329,0.529,0.102,0.031,406.0
0.329,0.498,0.129,0.031,404.0
0.329,0.471,0.169,0.031,400.0
0.329,0.431,0.2,0.031,401.0
0.329,0.4,0.231,0.031,403.0
0.329,0.369,0.271,0.031,403.0
